__dim1_var1	__data_var1	__data_var2	__data_var3	__data_var4	__data_var5	__data_var6	__data_var7	__data_var8	__data_var9	__data_var10	__data_var11	__data_var12	__data_var13	__data_var14	__data_var15	__data_var16	__data_var17	__data_var18	__data_var19	__data_var20	__data_var21	__data_var22	__data_var23	__data_var24	__data_var25	__data_var26	__data_var27	__data_var28	__data_var29	__data_var30	__data_var31	__data_var32	__data_var33	__data_var34	__data_var35	__data_var36	__data_var37	__data_var38	__data_var39	__data_var40	__data_var41	__data_var42	__data_var43	__data_var44	__data_var45	__data_var46	__data_var47	__data_var48	__data_var49	__data_var50	__data_var51	__data_var52	__data_var53	__data_var54	__data_var55	__data_var56	__data_var57	__data_var58	__data_var59	__data_var60	__data_var61
FW106-7-25-12	104678.0	387.2	261583.84999999998	2250.13	0.0	606478.15	36337.44	205.4	89.66	326.252	7.212	3311.2	0.0	1707.6299999999999	0.0029280000000000005	0.004901	0.056128000000000004	-0.033386	-0.019229	314.98599999999993	0.16056499999999999	0.503824	0.2702190000000001	0.676212	0.007813	0.002001	333.889	-5.0252859999999995	51.66600000000001	38.755	907.975	5.489603000000001	0.04885300000000001	0.026826	0.5201140000000001	17.98018799999999	1.039564	3.0	0.0	0.2	0.0																				
FW109-1-7-25-12	51275.0	423.57	601237.21	19516.22	3328.36	307130.02	23385.35	94.36	10.950000000000001	47.009	0.0	913.814	0.0	124.469	0.002869	0.000772	0.19574400000000003	0.030308	-0.010879000000000002	212.19299999999998	0.11902299999999998	0.245076	0.006058	0.01341	0.006435	0.005894	27.512	0.349264	40.594	38.873000000000005	76.795	0.839961	0.0005769999999999999	0.0027040000000000002	0.5442530000000001	2.8137639999999995	0.24338300000000004	3.0	0.0	0.2	0.0																				
FW109-2-7-25-12	20321.0	287.72	675813.8600000001	34549.13	3204.63	265288.05	15151.15	96.86999999999999	9.012	51.642	0.0	505.91999999999996	0.0	283.22499999999997	0.002859	0.00043400000000000003	0.046179000000000005	0.031427	-0.009589000000000002	69.60899999999998	0.07581	0.30430300000000016	0.009341	0.022624	-0.007942000000000001	0.0018549999999999999	30.366	0.48258900000000016	24.503	26.029	46.26900000000001	0.900057	0.0008160000000000001	0.002029	0.2985730000000001	9.402885000000003	0.3896860000000001	3.0	0.0	0.2	0.0																				
FW126-7-25-12	121928.0	211.3	150841.12	2879.61	0.0	709790.65	20804.59	138.2	119.5	332.0539999999999	0.0	10261.5	0.0	1088.11	0.004013	0.0028680000000000003	0.13246700000000003	-0.011937999999999999	-0.028028	1219.2939999999999	0.794685	1.1202370000000001	0.5717780000000001	1.8534269999999997	0.15412299999999998	0.0037480000000000005	91.9	-1.7143520000000003	185.78	118.51100000000001	757.06	9.389640000000002	0.044879999999999996	0.005588	2.321927	43.352669	1.9944339999999998	3.0	0.0	0.2	0.0																				
FW300-7-25-12	0.0	0.0	962458.21	0.0	0.0	13532.44	0.0	43.83	13.39	1.0318471013117283	0.14479692619030846	0.29357656118815817	0.20806526613913173	5.159690761736779	0.001385	0.0012740000000000002	0.07973500000000003	0.009972000000000002	-0.0036959999999999996	46.79400000000001	-7.7	0.0030570000000000003	0.002116	7.2	1.9394539999999998	0.002475	1.3109999999999997	0.011649	2.3069999999999995	1.4379999999999995	2.8919999999999995	0.007098	-0.00017700000000000002	-0.00041100000000000007	0.094397	0.018327000000000003	0.038375	3.0		0.2																					
FW301-7-25-12	0.0	578.72	895825.9	0.0	0.0	37023.5	0.0	41.690000000000005	11.58	2.8066110927038412	0.0	18.948405289656613	0.0	17.378234306943433	0.001382	0.000122	0.064839	0.009998	-0.002855	39.08	0.000653	0.002415	0.002316	0.0031049999999999997	-0.020801	0.002065	2.4759999999999995	0.017645	1.8759999999999997	0.594	10.031	0.037109	-5.5	-0.000539	0.07693200000000001	0.027496	0.039409	3.0	37.30000000000001	0.2	12.9																				
FW021-7-26-12	178008.0	0.0	701756.98	31656.93	1102.71	220723.58	27466.39	94.85	8.952000000000002	107.529	0.0	2512.06	0.0	13.346	0.001413	0.0013009999999999999	1.7964720000000003	0.039258	-0.019337000000000003	391.552	0.0983	0.5205810000000001	0.00603	0.054915000000000005	-0.004196	0.048963	19.300999999999995	0.10538400000000002	68.743	75.193	172.916	2.375331	0.001752	0.006157	0.926762	1.4739219999999997	0.493227	3.0	2.1	0.2	1.7300000000000002																				
FW104-7-26-12	252835.0	0.0	511810.16	1995.57	0.0	368202.29000000004	57403.99	198.8	46.52	186.154	0.0	5584.2	0.0	5533.2	0.002796	0.00176	0.199898	0.020529	-0.018068000000000004	1574.356	0.033988	0.086349	0.009114	0.15699400000000002	0.277276	0.005993	100.381	0.057696000000000004	230.611	122.765	375.8690000000001	0.3648800000000001	0.000703	0.001307	2.791376	34.15231100000001	0.21516	3.0	1.37	0.2	1.7900000000000003																				
FW511-7-26-12	45604.0	0.0	813252.9400000001	39225.4	8944.629999999997	101989.18000000001	0.0	26.34	2.9919999999999995	60.603	0.0	189.484	0.0	173.782	0.00137	-2.4	0.040583999999999995	0.01062	-0.003365	6.849	0.007057	0.011465999999999999	0.002225	0.001621	-0.020293	0.001404	12.809000000000001	0.014192	2.045	1.57	20.544	0.030872999999999998	-1.0	-0.0008610000000000001	0.012395	0.196631	0.047379000000000004	3.0	0.0	0.2	0.0																				
GW101-7-26-12	333175.0	3226.3500000000004	857194.58	0.0	37263.719999999994	62513.6	0.0	126.9	40.449999999999996	41.0079	0.0	6.9136	0.0	3.6492	0.001345	0.000763	0.853457	0.009966000000000001	-0.005117	124.881	0.00019700000000000002	0.0013499999999999999	0.004535	0.005213999999999999	3.3010889999999997	0.026188000000000003	2.779	0.011056	20.699000000000005	3.231	23.502	0.007065	-2.8	0.000152	0.5845569999999998	0.14600000000000002	0.037175	3.0	15.3	0.2	10.6																				
