__dim1_var1	__data_var1	__data_var2	__data_var3
FW106-7-25-12	0.002	1.4	
FW109-1-7-25-12	0.0	0.6600000000000001	
FW109-2-7-25-12	0.0	0.23	
FW126-7-25-12	0.015	1.1700000000000002	
FW300-7-25-12	0.039	2.02	
FW301-7-25-12	0.044	0.05	
FW021-7-26-12	0.004	0.08	
FW104-7-26-12	0.005	0.7200000000000001	
FW511-7-26-12	0.15200000000000002	0.11	
GW101-7-26-12	0.10900000000000001	0.6900000000000001	
TPB16-7-26-12	0.006	0.01	
FW300-59-10-19-12	0.026000000000000002	0.5	
FW301-81-10-19-12	0.188	0.98	
FW303-11-10-23-12	0.041	0.0	
FW106-11-13-12	0.004	1.02	
FW126-11-13-12	0.044	0.13	
FW410-28-46-11-13-12	0.018000000000000002	2.19	
GW101-11-13-12	0.0	2.7	
FW104-67-11-14-12	0.0	2.17	
FW109-35-61-11-14-12	0.0	0.44	
FW109-40-92-11-14-12	0.017	0.42000000000000004	
GW122-78-11-14-12	0.069	0.023	sulfide: cloudy appearance, no blue color; think value is false
GW123-93-11-14-12	0.033	0.01	blue color developed with sulfide test
GW247-7-11-14-12	0.018000000000000002	0.011	
FW507-49-11-26-12	0.6600000000000001	1.1599999999999997	the sulfide was cloudy/silty water
FW510-26-11-26-12	0.128	0.56	no sample pulled, in situ measurement
FW511-61-11-26-12	0.081	0.03	
GW115-2-11-26-12	0.002	0.5	spec memory error. Collected 2- zero headspace samples for analysis at field trailer
GW127-16-11-26-12	0.003	0.06	
GW246-1-11-26-12	0.004	0.037	
GW537-24-11-26-12	0.0	0.0	2-40mL no headspace samples
DP16D-67-11-27-12	0.0	1.46	
FW021-46-11-27-12	0.004	0.03	
FW215-84-11-27-12	0.0	0.21000000000000002	
GW345-51-11-27-12	0.0	0.01	
GW346-47-11-27-12	0.003	0.06	
GW526-15-11-27-12	0.008	0.02	
FW233-17-2-99-11-28-12	0.0	2.1	
FW602-2-26-2-11-28-12	0.001	0.0	
GW084-56-11-28-12	0.005	0.11	
GW531-83-11-28-12	0.02	0.07	
GW533-48-11-28-12	0.001	0.02	
TPB16-81-11-28-12	0.10700000000000001	0.18	
FW603-55-12-3-12	0.006	0.05	
FW603-55-12-3-12 timepoint 2	0.012	0.09	
GW085-58-12-3-12	0.013000000000000001	0.0	
GW086-25-12-3-12	0.007	0.02	
GW694-33-12-3-12	0.001	0.0	
GW736-14-12-3-12	0.041	0.0	
GW105-12-11-12	0.088	0.01	water was a little cloudy
GW107-91-12-11-12	0.033	0.0	
GW190-22-12-11-12	0.005	0.04	
GW631-98-12-11-12	0.0	0.44	
PTMW02-4-12-11-12	0.0	0.07	"sulfide: reading stated ""under measuring range"""
GW151-12-12-12	0.001	0.0	samples were collected in a vial with no headspace and measured later by the second field team due to problems with the field spec.; reading for iron was under measurement range
GW220-50-12-12-12	0.0	0.05	samples were collected in a vial with no headspace and measured later by the second field team due to problems with the field spec
GW704-5-12-17-12	0.005	0.05	
GW737-12-12-12	0.0	0.06	
GW750-28-12-12-12	0.0	0.03	collected sample to be measured later - zero headspace in 40mL vial
GW800-12-12-12	0.003	0.0	
GW148-12-17-12	0.004	0.17	
GW383-12-17-12	0.0	0.02	
GW384-12-17-12	0.004	1.24	
GW621-21-12-17-12	0.004	0.05	
GW706-96-12-17-12	0.0	0.0	
GW089-62-1-7-13	0.002	0.06	
GW654-0-1-7-13	0.003	0.1	
GW753-79-1-7-13	0.6600000000000001	0.06	
GW754-40-1-7-13	0.0	0.0	
GW056-87-1-8-13	0.029	0.2	
GW057-10-1-8-13	0.008	0.06	
GW223-39-1-8-13	0.002	0.12000000000000001	
GW685-6-1-8-13	0.009000000000000001	0.07	
GW755-69-1-8-13	0.0	0.0	
GW755-69-1-8-13 timepoint 2	0.004	0.0	
GW764-23-1-11-13	0.002	0.04	
GW765-77-1-11-13	0.003	0.06	
GW098-57-1-22-13	0.0	0.39	
GW363-94-1-22-13	0.008	0.07	
GW763-23-1-22-13	0.009000000000000001	2.55	
GW639-90-1-23-13	0.0	0.08	
GW641-30-1-23-13	0.0	0.07	
GW658-63-1-23-13	0.001	0.19	
GW803-31-1-23-13	0.0	0.0	
GW199-42-1-28-13	0.003	0.13	
GW199-42-1-28-13 timepoint 2	0.0	0.01	
GW636-32-1-28-13	0.226	0.8700000000000001	lot of precipitate in the sample, well is corroding
GW761-29-1-28-13	0.001	0.02	
GW921-86-1-28-13	0.001	0.0	
GW925-68-1-28-13	0.056	0.0	
GW283-43-1-29-13	0.013000000000000001	0.03	
GW760-18-1-29-13	0.006	0.0	
GW775-88-1-29-13	0.0	0.03	
GW228-12-2-4-13	0.008	0.0	
GW60-1A-60-2-4-13	0.025	0.11	
GW773-35-2-4-13	0.002	0.0	
GW198-41-2-11-13	0.02	0.001	
GW804-13-2-11-13	0.088	0.0	sulfide very cloudy - no blue color
GW928-54-2-11-13	0.003	0.8400000000000001	
GW929-2-11-13	0.015	0.0	
GW350-74-2-12-13	0.0	0.38000000000000006	
GW714-34-2-12-13	0.004	0.0	
GW715-65-2-12-13	0.0	0.01	
GW271-66-2-18-13	4.1499999999999995	0.01	def. dark blue color; can smell sulfur odor from groundwater; 1/10 dilution required to get below 0.6ppm detection limit
GW385-80-2-18-13	0.0	0.01	
GW683-53-2-18-13	0.0	0.0	
GW779-8-2-18-13	0.0	0.01	sulfide measurement was recorded at -2 on the field notes
GW782-72-2-18-13	0.004	0.09	orange particulate floating in water
GW162-37-2-19-13	0.083	0.23	
GW314-97-2-19-13	0.0	0.02	
