__dim1_var1	__data_var1	__data_var2	__data_var3	__data_var4	__data_var5	__data_var6
FW106-7-25-12	25.47	0.13	8401.0	498.0	3.69	In situ multi-parameter 9500 Troll
FW109-1-7-25-12	28.6	0.21000000000000002	2889.0	363.0	4.159999999999999	In situ multi-parameter 9500 Troll
FW109-2-7-25-12	28.06	0.39	16.07	384.0	4.03	In situ multi-parameter 9500 Troll
FW126-7-25-12	33.949999999999996	0.2	16780.0	499.0	3.1	In situ multi-parameter 9500 Troll
FW300-7-25-12	21.03	0.24000000000000002		-34.0	6.5	In situ multi-parameter 9500 Troll
FW301-7-25-12	22.6	0.45	205.0	163.0	6.08	In situ multi-parameter 9500 Troll
FW021-7-26-12	25.07	2.48	5390.0	476.0	3.82	In situ multi-parameter 9500 Troll
FW104-7-26-12	31.99	0.2	15470.0	140.0	5.91	In situ multi-parameter 9500 Troll
FW511-7-26-12	23.23	1.32	297.3999999999999	351.0	5.01	In situ multi-parameter 9500 Troll
GW101-7-26-12	24.979999999999997	1.06	934.8	-23.0	7.2	In situ multi-parameter 9500 Troll
TPB16-7-26-12	26.79	0.18	1444.0	74.0	7.1	In situ multi-parameter 9500 Troll
FW300-59-10-19-12	15.54	0.2800000000000001	378.9	-129.0	6.59	In situ multi-parameter 9500 Troll
FW301-81-10-19-12	15.77	0.78	334.4	39.0	6.68	In situ multi-parameter 9500 Troll
FW300-59-10-23-12	19.35	0.35000000000000003	422.1	-37.0	6.6	In situ multi-parameter 9500 Troll
FW303-11-10-23-12	15.82	0.7100000000000001	316.3999999999999	147.0	7.159999999999999	In situ multi-parameter 9500 Troll
FW300-59-10-29-12	13.370000000000001	0.41000000000000003	416.2	16.0	6.53	In situ multi-parameter 9500 Troll
FW301-81-10-29-12	13.9	1.6800000000000002	217.1	67.0	6.7	In situ multi-parameter 9500 Troll
FW303-11-10-29-12	13.46	0.45	314.1	56.0	7.2700000000000005	In situ multi-parameter 9500 Troll
FW106-11-13-12	14.84	0.18	7864.0	426.0	3.55	In situ multi-parameter 9500 Troll
FW106-11-13-12 timepoint 2	14.1	0.16	8082.0	362.0	3.7	In situ multi-parameter 9500 Troll
FW126-11-13-12	12.16	0.16	18770.0	168.0	3.04	In situ multi-parameter 9500 Troll
