name	community_type	sample	parent_community	condition	defined_strains	description
FW511-7-26-12 0.2 micron filter	Environmental Community <ME:0000326>	FW511-7-26-12	null	null	null	null
DP16D-67-11-27-12 0.2 micron filter	Environmental Community <ME:0000326>	DP16D-67-11-27-12	null	null	null	null
GW056-87-1-8-13 10 micron filter	Environmental Community <ME:0000326>	GW056-87-1-8-13	null	null	null	null
DP16D-67-11-27-12 10 micron filter	Environmental Community <ME:0000326>	DP16D-67-11-27-12	null	null	null	null
GW057-10-1-8-13 0.2 micron filter	Environmental Community <ME:0000326>	GW057-10-1-8-13	null	null	null	null
FW021-46-11-27-12 0.2 micron filter	Environmental Community <ME:0000326>	FW021-46-11-27-12	null	null	null	null
GW057-10-1-8-13 10 micron filter	Environmental Community <ME:0000326>	GW057-10-1-8-13	null	null	null	null
FW021-46-11-27-12 10 micron filter	Environmental Community <ME:0000326>	FW021-46-11-27-12	null	null	null	null
GW066-71-2-20-13 0.2 micron filter	Environmental Community <ME:0000326>	GW066-71-2-20-13	null	null	null	null
FW021-7-26-12 0.2 micron filter	Environmental Community <ME:0000326>	FW021-7-26-12	null	null	null	null
GW125-85-2-20-13 10 micron filter	Environmental Community <ME:0000326>	GW125-85-2-20-13	null	null	null	null
FW021-7-26-12 10 micron filter	Environmental Community <ME:0000326>	FW021-7-26-12	null	null	null	null
GW066-71-2-20-13 10 micron filter	Environmental Community <ME:0000326>	GW066-71-2-20-13	null	null	null	null
FW104-67-11-14-12 0.2 micron filter	Environmental Community <ME:0000326>	FW104-67-11-14-12	null	null	null	null
GW084-56-11-28-12 0.2 micron filter	Environmental Community <ME:0000326>	GW084-56-11-28-12	null	null	null	null
FW104-67-11-14-12 10 micron filter	Environmental Community <ME:0000326>	FW104-67-11-14-12	null	null	null	null
GW084-56-11-28-12 10 micron filter	Environmental Community <ME:0000326>	GW084-56-11-28-12	null	null	null	null
FW104-7-26-12 0.2 micron filter	Environmental Community <ME:0000326>	FW104-7-26-12	null	null	null	null
GW127-16-11-26-12 0.2 micron filter	Environmental Community <ME:0000326>	GW127-16-11-26-12	null	null	null	null
FW104-7-26-12 10 micron filter	Environmental Community <ME:0000326>	FW104-7-26-12	null	null	null	null
GW085-58-12-3-12 0.2 micron filter	Environmental Community <ME:0000326>	GW085-58-12-3-12	null	null	null	null
FW106-11-13-12 0.2 micron filter	Environmental Community <ME:0000326>	FW106-11-13-12	null	null	null	null
GW085-58-12-3-12 10 micron filter	Environmental Community <ME:0000326>	GW085-58-12-3-12	null	null	null	null
FW106-11-13-12 10 micron filter	Environmental Community <ME:0000326>	FW106-11-13-12	null	null	null	null
GW086-25-12-3-12 0.2 micron filter	Environmental Community <ME:0000326>	GW086-25-12-3-12	null	null	null	null
FW106-7-25-12 0.2 micron filter	Environmental Community <ME:0000326>	FW106-7-25-12	null	null	null	null
GW086-25-12-3-12 10 micron filter	Environmental Community <ME:0000326>	GW086-25-12-3-12	null	null	null	null
FW109-1-7-25-12 10 micron filter	Environmental Community <ME:0000326>	FW109-1-7-25-12	null	null	null	null
GW089-62-1-7-13 0.2 micron filter	Environmental Community <ME:0000326>	GW089-62-1-7-13	null	null	null	null
FW109-2-7-25-12 0.2 micron filter	Environmental Community <ME:0000326>	FW109-2-7-25-12	null	null	null	null
GW089-62-1-7-13 10 micron filter	Environmental Community <ME:0000326>	GW089-62-1-7-13	null	null	null	null
FW109-2-7-25-12 10 micron filter	Environmental Community <ME:0000326>	FW109-2-7-25-12	null	null	null	null
GW098-57-1-22-13 0.2 micron filter	Environmental Community <ME:0000326>	GW098-57-1-22-13	null	null	null	null
FW109-35-61-11-14-12 0.2 micron filter	Environmental Community <ME:0000326>	FW109-35-61-11-14-12	null	null	null	null
GW098-57-1-22-13 10 micron filter	Environmental Community <ME:0000326>	GW098-57-1-22-13	null	null	null	null
FW109-35-61-11-14-12 10 micron filter	Environmental Community <ME:0000326>	FW109-35-61-11-14-12	null	null	null	null
GW101-11-13-12 0.2 micron filter	Environmental Community <ME:0000326>	GW101-11-13-12	null	null	null	null
FW109-40-92-11-14-12 0.2 micron filter	Environmental Community <ME:0000326>	FW109-40-92-11-14-12	null	null	null	null
GW101-11-13-12 0.2 micron filter B	Environmental Community <ME:0000326>	GW101-11-13-12	null	null	null	null
FW109-40-92-11-14-12 10 micron filter	Environmental Community <ME:0000326>	FW109-40-92-11-14-12	null	null	null	null
GW101-11-13-12 10 micron filter	Environmental Community <ME:0000326>	GW101-11-13-12	null	null	null	null
FW126-7-25-12 0.2 micron filter	Environmental Community <ME:0000326>	FW126-7-25-12	null	null	null	null
GW127-16-11-26-12 10 micron filter	Environmental Community <ME:0000326>	GW127-16-11-26-12	null	null	null	null
FW126-7-25-12 10 micron filter	Environmental Community <ME:0000326>	FW126-7-25-12	null	null	null	null
GW101-11-13-12 10 micron filter B	Environmental Community <ME:0000326>	GW101-11-13-12	null	null	null	null
FW215-84-11-27-12 0.2 micron filter	Environmental Community <ME:0000326>	FW215-84-11-27-12	null	null	null	null
GW101-7-26-12 0.2 micron filter	Environmental Community <ME:0000326>	GW101-7-26-12	null	null	null	null
FW215-84-11-27-12 10 micron filter	Environmental Community <ME:0000326>	FW215-84-11-27-12	null	null	null	null
FW233-17-2-99-11-28-12 0.2 micron filter	Environmental Community <ME:0000326>	FW233-17-2-99-11-28-12	null	null	null	null
FW511-61-11-26-12 10 micron filter	Environmental Community <ME:0000326>	FW511-61-11-26-12	null	null	null	null
FW233-17-2-99-11-28-12 10 micron filter	Environmental Community <ME:0000326>	FW233-17-2-99-11-28-12	null	null	null	null
GW101-7-26-12 0.2 micron filter B	Environmental Community <ME:0000326>	GW101-7-26-12	null	null	null	null
FW300-59-10-19-12 0.2 micron filter	Environmental Community <ME:0000326>	FW300-59-10-19-12	null	null	null	null
GW101-7-26-12 10 micron filter	Environmental Community <ME:0000326>	GW101-7-26-12	null	null	null	null
FW300-59-10-19-12 10 micron filter	Environmental Community <ME:0000326>	FW300-59-10-19-12	null	null	null	null
GW101-7-26-12 10 micron filter B	Environmental Community <ME:0000326>	GW101-7-26-12	null	null	null	null
FW301-7-25-12 0.2 micron filter	Environmental Community <ME:0000326>	FW301-7-25-12	null	null	null	null
GW148-12-17-12 0.2 micron filter	Environmental Community <ME:0000326>	GW148-12-17-12	null	null	null	null
FW301-7-25-12 10 micron filter	Environmental Community <ME:0000326>	FW301-7-25-12	null	null	null	null
GW105-12-11-12 0.2 micron filter	Environmental Community <ME:0000326>	GW105-12-11-12	null	null	null	null
FW301-81-10-19-12 0.2 micron filter	Environmental Community <ME:0000326>	FW301-81-10-19-12	null	null	null	null
GW105-12-11-12 10 micron filter	Environmental Community <ME:0000326>	GW105-12-11-12	null	null	null	null
FW301-81-10-19-12 10 micron filter	Environmental Community <ME:0000326>	FW301-81-10-19-12	null	null	null	null
GW107-91-12-11-12 0.2 micron filter	Environmental Community <ME:0000326>	GW107-91-12-11-12	null	null	null	null
FW301-81-2-20-13 0.2 micron filter	Environmental Community <ME:0000326>	FW301-81-2-20-13	null	null	null	null
GW107-91-12-11-12 10 micron filter	Environmental Community <ME:0000326>	GW107-91-12-11-12	null	null	null	null
