process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW106-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW109-1-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW109-2-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW126-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW300-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Sample: FW301-7-25-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Sample: FW021-7-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Sample: FW104-7-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Sample: FW511-7-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Sample: GW101-7-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Sample: TPB16-7-26-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-19	2012-10-19	Sample: FW300-59-10-19-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-19	2012-10-19	Sample: FW301-81-10-19-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-23	2012-10-23	Sample: FW300-59-10-23-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-23	2012-10-23	Sample: FW303-11-10-23-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Sample: FW300-59-10-29-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Sample: FW301-81-10-29-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Sample: FW303-11-10-29-12	Generic: hazen_field_100ws.hndarray
Assay Environment <PROCESS:0000004>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Sample: FW106-11-13-12	Generic: hazen_field_100ws.hndarray
