process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: DP16D_67_11_27_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: DP16D_67_11_27_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW021_46_11_27_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW021_46_11_27_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW021_7_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW021_7_26_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW104_67_11_14_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW104_67_11_14_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW104_7_26_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW104_7_26_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW106_11_13_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW106_11_13_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW106_7_25_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_1_7_25_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_2_7_25_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_2_7_25_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_35_61_11_14_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_35_61_11_14_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_40_92_11_14_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW109_40_92_11_14_12_10.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW126_7_25_12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW126_7_25_12_3.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
Classify OTUs <PROCESS:0000031>	Zhou Lab <ENIGMA:0000090>	100 Well Survey <ENIGMA:0000003>	null	null	null	Reads: FW215_84_11_27__12_02.reads	Generic: zhou_otu_count_100ws.ndarray, Generic: zhou_otu_id_100ws.ndarray
