process	person	campaign	protocol	date_start	date_end	input_objects	output_objects	
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-106	Sample: FW106-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-109-40	Sample: FW109-1-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-109-35	Sample: FW109-2-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-126	Sample: FW126-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-300	Sample: FW300-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-25	2012-07-25	Well: FW-301	Sample: FW301-7-25-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Well: FW-021	Sample: FW021-7-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Well: FW-104	Sample: FW104-7-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Well: FW-511	Sample: FW511-7-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Well: GW-101	Sample: GW101-7-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-07-26	2012-07-26	Well: TPB16	Sample: TPB16-7-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-19	2012-10-19	Well: FW-300	Sample: FW300-59-10-19-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-19	2012-10-19	Well: FW-301	Sample: FW301-81-10-19-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-23	2012-10-23	Well: FW-300	Sample: FW300-59-10-23-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-23	2012-10-23	Well: FW-303	Sample: FW303-11-10-23-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Well: FW-300	Sample: FW300-59-10-29-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Well: FW-301	Sample: FW301-81-10-29-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-10-29	2012-10-29	Well: FW-303	Sample: FW303-11-10-29-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-106	Sample: FW106-11-13-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-106	Sample: FW106-11-13-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-126	Sample: FW126-11-13-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-126	Sample: FW126-11-13-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-410-28	Sample: FW410-28-46-11-13-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: FW-410-28	Sample: FW410-28-46-11-13-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: GW-101	Sample: GW101-11-13-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-13	2012-11-13	Well: GW-101	Sample: GW101-11-13-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-104	Sample: FW104-67-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-104	Sample: FW104-67-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-109-35	Sample: FW109-35-61-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-109-35	Sample: FW109-35-61-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-109-40	Sample: FW109-40-92-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: FW-109-40	Sample: FW109-40-92-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-122	Sample: GW122-78-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-122	Sample: GW122-78-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-123	Sample: GW123-93-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-123	Sample: GW123-93-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-247	Sample: GW247-7-11-14-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-14	2012-11-14	Well: GW-247	Sample: GW247-7-11-14-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: FW-507	Sample: FW507-49-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: FW-510	Sample: FW510-26-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: FW-510	Sample: FW510-26-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: FW-511	Sample: FW511-61-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: FW-511	Sample: FW511-61-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-115	Sample: GW115-2-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-115	Sample: GW115-2-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-127	Sample: GW127-16-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-127	Sample: GW127-16-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-246	Sample: GW246-1-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-246	Sample: GW246-1-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-537	Sample: GW537-24-11-26-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-26	2012-11-26	Well: GW-537	Sample: GW537-24-11-26-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: DP16D	Sample: DP16D-67-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: DP16D	Sample: DP16D-67-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-021	Sample: FW021-46-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-215	Sample: FW215-84-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: FW-215	Sample: FW215-84-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-345	Sample: GW345-51-11-27-12
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-345	Sample: GW345-51-11-27-12 timepoint 2
Sampling <PROCESS:0000002>	Hazen Lab <ENIGMA:0000066>	100 Well Survey <ENIGMA:0000003>	null	2012-11-27	2012-11-27	Well: GW-346	Sample: GW346-47-11-27-12
