name	read_count	read_type	sequencing_technology	link
FW511_7_26_13_02.reads	76138	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW511_7_26_13_02.reads
DP16D_67_11_27_12_02.reads	63207	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/DP16D_67_11_27_12_02.reads
GW056_87_1_8_13_10.reads	94927	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW056_87_1_8_13_10.reads
DP16D_67_11_27_12_10.reads	58667	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/DP16D_67_11_27_12_10.reads
GW057_10_1_8_13_02.reads	108098	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW057_10_1_8_13_02.reads
FW021_46_11_27_12_02.reads	73562	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW021_46_11_27_12_02.reads
GW057_10_1_8_13_10.reads	91686	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW057_10_1_8_13_10.reads
FW021_46_11_27_12_10.reads	178477	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW021_46_11_27_12_10.reads
GW066_71_2_20_13_02.reads	48327	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW066_71_2_20_13_02.reads
FW021_7_26_12_02.reads	147483	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW021_7_26_12_02.reads
GW125_85_2_20_13_10.reads	50152	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW125_85_2_20_13_10.reads
FW021_7_26_12_3.reads	85281	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW021_7_26_12_3.reads
GW066_71_2_20_13_10.reads	22223	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW066_71_2_20_13_10.reads
FW104_67_11_14_12_02.reads	56397	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW104_67_11_14_12_02.reads
GW084_56_11_28_12_02.reads	38379	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW084_56_11_28_12_02.reads
FW104_67_11_14_12_10.reads	71392	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW104_67_11_14_12_10.reads
GW084_56_11_28_12_10.reads	49249	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW084_56_11_28_12_10.reads
FW104_7_26_12_02.reads	39682	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW104_7_26_12_02.reads
GW127_16_11_26_12_02.reads	145380	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW127_16_11_26_12_02.reads
FW104_7_26_12_3.reads	67179	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW104_7_26_12_3.reads
GW085_58_12_3_12_02.reads	62240	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW085_58_12_3_12_02.reads
FW106_11_13_12_02.reads	74025	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW106_11_13_12_02.reads
GW085_58_12_3_12_10.reads	125062	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW085_58_12_3_12_10.reads
FW106_11_13_12_10.reads	111167	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW106_11_13_12_10.reads
GW086_25_12_3_12_02.reads	68304	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW086_25_12_3_12_02.reads
FW106_7_25_12_02.reads	169342	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW106_7_25_12_02.reads
GW086_25_12_3_12_10.reads	56414	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW086_25_12_3_12_10.reads
FW109_1_7_25_12_3.reads	81188	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW109_1_7_25_12_3.reads
GW089_62_1_7_13_02.reads	57320	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW089_62_1_7_13_02.reads
FW109_2_7_25_12_02.reads	114981	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW109_2_7_25_12_02.reads
GW089_62_1_7_13_10.reads	38258	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW089_62_1_7_13_10.reads
FW109_2_7_25_12_3.reads	74919	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW109_2_7_25_12_3.reads
GW098_57_1_22_13_02.reads	60686	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/GW098_57_1_22_13_02.reads
FW109_35_61_11_14_12_02.reads	34156	Single End Read <ME:0000114>	Illumina <ME:0000117>	https://narrative.kbase.us/#dataview/26835/FW109_35_61_11_14_12_02.reads
