name	location	depth	elevation	date	time	timezone	material	env_package	description
FW106-7-25-12	FW-106	12.2301	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW109-1-7-25-12	FW-109-40	11.708892	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW109-2-7-25-12	FW-109-35	10.209276	null	2012-07-25	15:10:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW126-7-25-12	FW-126	13.687044	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW300-7-25-12	FW-300	4.572	null	2012-07-25	17:02:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW301-7-25-12	FW-301	4.35864	null	2012-07-25	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	multiple pre-filters collected for DNA; multiple regular filters collected for DNA
FW021-7-26-12	FW-021	5.978652000000001	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW104-7-26-12	FW-104	12.58062	null	2012-07-26	09:10:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW511-7-26-12	FW-511	6.0579	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
GW101-7-26-12	GW-101	4.35864	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
TPB16-7-26-12	TPB16	4.355592	null	2012-07-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	null
FW300-59-10-19-12	FW-300	4.572	null	2012-10-19	11:01:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	collected volume series for DNA; collected all parameters
FW301-81-10-19-12	FW-301	4.35864	null	2012-10-19	11:00:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	collected volume series for DNA; collected all parameters
FW300-59-10-23-12	FW-300	4.572	null	2012-10-23	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	re-collected PFLA for volume series; also took field measurements, no other parameters sampled
FW303-11-10-23-12	FW-303	5.382768	null	2012-10-23	09:37:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	collected PLFA vol series, collected all parameters
FW300-59-10-29-12	FW-300	4.572	null	2012-10-29	11:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	re-collected culture samples for Romy; also took field measurements, no other parameters sampled
FW301-81-10-29-12	FW-301	4.35864	null	2012-10-29	11:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	re-collected culture samples for Romy; also took field measurements, no other parameters sampled
FW303-11-10-29-12	FW-303	5.382768	null	2012-10-29	11:41:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	re-collected culture samples for Romy; also took field measurements, no other parameters sampled
FW106-11-13-12	FW-106	12.2301	null	2012-11-13	13:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW106-11-13-12 timepoint 2	FW-106	12.2301	null	2012-11-13	16:38:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW126-11-13-12	FW-126	13.687044	null	2012-11-13	13:39:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW126-11-13-12 timepoint 2	FW-126	13.687044	null	2012-11-13	19:26:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW410-28-46-11-13-12	FW-410-28	7.804404000000001	null	2012-11-13	13:37:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW410-28-46-11-13-12 timepoint 2	FW-410-28	7.804404000000001	null	2012-11-13	18:52:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW101-11-13-12	GW-101	4.35864	null	2012-11-13	16:43:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW101-11-13-12 timepoint 2	GW-101	4.35864	null	2012-11-13	18:27:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW104-67-11-14-12	FW-104	12.58062	null	2012-11-14	14:19:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW104-67-11-14-12 timepoint 2	FW-104	12.58062	null	2012-11-14	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW109-35-61-11-14-12	FW-109-35	10.209276	null	2012-11-14	13:17:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; collected extra DNA and PLFA samples for MSU
FW109-35-61-11-14-12 timepoint 2	FW-109-35	10.209276	null	2012-11-14	15:45:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; collected extra DNA and PLFA samples for MSU
FW109-40-92-11-14-12	FW-109-40	11.708892	null	2012-11-14	10:21:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	troll locked up on us, so had to reset troll to get field parameters; Initial Sampling - all parameters collected
FW109-40-92-11-14-12 timepoint 2	FW-109-40	11.708892	null	2012-11-14	11:50:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	troll locked up on us, so had to reset troll to get field parameters; Initial Sampling - all parameters collected
GW122-78-11-14-12	GW-122	28.041600000000003	null	2012-11-14	10:38:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  purged approximately 10L
GW122-78-11-14-12 timepoint 2	GW-122	28.041600000000003	null	2012-11-14	11:39:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  purged approximately 10L
GW123-93-11-14-12	GW-123	159.1056	null	2012-11-14	13:41:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  purged approximately 16L
GW123-93-11-14-12 timepoint 2	GW-123	159.1056	null	2012-11-14	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  purged approximately 16L
GW247-7-11-14-12	GW-247	18.562320000000003	null	2012-11-14	15:25:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  see notes under DNA
GW247-7-11-14-12 timepoint 2	GW-247	18.562320000000003	null	2012-11-14	17:20:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected;  see notes under DNA
FW507-49-11-26-12	FW-507	4.805172000000001	null	2012-11-26	15:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling -only groundwater samples collected. Well dried out and unable to collect PFLA, DNA, and filtered groundwater samples
FW510-26-11-26-12	FW-510	7.104888000000001	null	2012-11-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, see notes for DNA
FW510-26-11-26-12 timepoint 2	FW-510	7.104888000000001	null	2012-11-26	11:42:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, see notes for DNA
FW511-61-11-26-12	FW-511	6.0579	null	2012-11-26	13:40:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW511-61-11-26-12 timepoint 2	FW-511	6.0579	null	2012-11-26	15:32:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW115-2-11-26-12	GW-115	14.325600000000001	null	2012-11-26	13:44:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, purged approximately 20L
GW115-2-11-26-12 timepoint 2	GW-115	14.325600000000001	null	2012-11-26	null	null	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, purged approximately 20L
GW127-16-11-26-12	GW-127	6.339840000000001	null	2012-11-26	11:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW127-16-11-26-12 timepoint 2	GW-127	6.339840000000001	null	2012-11-26	11:40:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW246-1-11-26-12	GW-246	18.45564	null	2012-11-26	09:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW246-1-11-26-12 timepoint 2	GW-246	18.45564	null	2012-11-26	10:40:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW537-24-11-26-12	GW-537	4.7244	null	2012-11-26	15:35:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, purged about 15L
GW537-24-11-26-12 timepoint 2	GW-537	4.7244	null	2012-11-26	16:10:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected, purged about 15L
DP16D-67-11-27-12	DP16D	6.0152280000000005	null	2012-11-27	13:20:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
DP16D-67-11-27-12 timepoint 2	DP16D	6.0152280000000005	null	2012-11-27	14:42:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW021-46-11-27-12	FW-021	5.978652000000001	null	2012-11-27	10:17:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW215-84-11-27-12	FW-215	4.945380000000001	null	2012-11-27	15:12:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW215-84-11-27-12 timepoint 2	FW-215	4.945380000000001	null	2012-11-27	16:55:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW345-51-11-27-12	GW-345	6.4008	null	2012-11-27	10:23:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 8L
GW345-51-11-27-12 timepoint 2	GW-345	6.4008	null	2012-11-27	11:15:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 8L
GW346-47-11-27-12	GW-346	18.16608	null	2012-11-27	13:56:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW346-47-11-27-12 timepoint 2	GW-346	18.16608	null	2012-11-27	14:50:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
GW526-15-11-27-12	GW-526	30.7848	null	2012-11-27	16:13:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 10 L
GW526-15-11-27-12 timepoint 2	GW-526	30.7848	null	2012-11-27	17:05:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 10 L
FW233-17-2-99-11-28-12	FW-233-17	4.988052000000001	null	2012-11-28	09:39:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW233-17-2-99-11-28-12 timepoint 2	FW-233-17	4.988052000000001	null	2012-11-28	10:52:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
FW602-2-26-2-11-28-12	FW-602-26	7.162800000000001	null	2012-11-28	14:11:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; collected a duplicate set of DNA for MSU; second set of samples were collected at the end due to different field parameters, the second set of samples were all unfiltered. The first set were collected normally.
FW602-2-26-2-11-28-12 timepoint 2	FW-602-26	7.162800000000001	null	2012-11-28	17:00:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; collected a duplicate set of DNA for MSU; second set of samples were collected at the end due to different field parameters, the second set of samples were all unfiltered. The first set were collected normally.
GW084-56-11-28-12	GW-084	7.7114400000000005	null	2012-11-28	15:26:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 45L
GW084-56-11-28-12 timepoint 2	GW-084	7.7114400000000005	null	2012-11-28	15:40:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 45L
GW531-83-11-28-12	GW-531	9.250680000000001	null	2012-11-28	10:13:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 15L
GW531-83-11-28-12 timepoint 2	GW-531	9.250680000000001	null	2012-11-28	11:53:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected; purged approximately 15L
GW533-48-11-28-12	GW-533	7.58952	null	2012-11-28	11:07:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling; no pump. Tubing set a 25' and 21' for slick-up
GW533-48-11-28-12 timepoint 2	GW-533	7.58952	null	2012-11-28	12:12:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling; no pump. Tubing set a 25' and 21' for slick-up
TPB16-81-11-28-12	TPB16	4.355592	null	2012-11-28	11:00:00	UTC-4	ground water <ENVO:00002041>	water <MIxS:0000017>	Initial Sampling - all parameters collected
