name	ncbi_taxid
Bacteria	NCBITaxon:2
Proteobacteria	NCBITaxon:1224
Gammaproteobacteria	NCBITaxon:1236
Pseudomonadales	NCBITaxon:72274
Pseudomonadaceae	NCBITaxon:135621
Pseudomonas	NCBITaxon:286
Bacteroidetes	NCBITaxon:976
Sphingobacteria	null
Sphingobacteriales	NCBITaxon:200666
Sphingobacteriaceae	NCBITaxon:84566
Mucilaginibacter	NCBITaxon:423349
Actinobacteria	null
Actinomycetales	NCBITaxon:2037
Nocardioidaceae	NCBITaxon:85015
Nocardioides	NCBITaxon:1839
Acidobacteria	NCBITaxon:57723
Holophagae	NCBITaxon:533205
Holophagales	NCBITaxon:574975
Holophagaceae	NCBITaxon:574976
Holophaga	NCBITaxon:35838
Verrucomicrobia	NCBITaxon:74201
Subdivision3	null
Subdivision3_genera_incertae_sedis	null
Micrococcaceae	NCBITaxon:1268
Kocuria	NCBITaxon:57493
Chitinophagaceae	NCBITaxon:563835
Alphaproteobacteria	NCBITaxon:28211
Sphingomonadales	NCBITaxon:204457
Sphingomonadaceae	NCBITaxon:41297
Sphingomonas	NCBITaxon:13687
Acidobacteria_Gp1	null
Xanthomonadales	NCBITaxon:135614
Xanthomonadaceae	NCBITaxon:32033
Armatimonadetes	NCBITaxon:67819
Armatimonadetes_gp5	null
Gemmatimonadetes	null
Gemmatimonadales	NCBITaxon:219686
Gemmatimonadaceae	NCBITaxon:219687
Gemmatimonas	NCBITaxon:173479
Bacteroidia	NCBITaxon:200643
Bacteroidales	NCBITaxon:171549
Prevotellaceae	NCBITaxon:171552
Prevotella	NCBITaxon:838
Betaproteobacteria	NCBITaxon:28216
Rhizobiales	NCBITaxon:356
Nocardiaceae	NCBITaxon:85025
Rhodococcus	null
Opitutae	NCBITaxon:414999
Opitutales	NCBITaxon:415000
Opitutaceae	NCBITaxon:134623
Chloroflexi	NCBITaxon:200795
Anaerolineae	NCBITaxon:292625
Anaerolineales	NCBITaxon:292629
Anaerolineaceae	NCBITaxon:292628
