name	latitude	longitude	continent	country	region	biome	feature
FW-301	35.941069	-84.33618099999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 81	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-300	35.941092	-84.33617599999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 59	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-021	35.977746999999994	-84.27203299999996	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 46	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
TPB16	35.975643000000005	-84.274687	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 81	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-511	35.978501	-84.27203499999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 61	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-106	35.977298	-84.27348399999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 0	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-126	35.977358	-84.273414	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 92	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-109-35	35.977374000000005	-84.27357699999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 61	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-109-40	35.977374000000005	-84.27357699999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 92	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-101	35.977320000000006	-84.274117	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 27	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-104	35.977360000000004	-84.273562	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 67	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-303	35.941139	-84.336279	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Background, Cluster 11	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-410-28	35.977136	-84.27395699999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 46	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-247	35.9773	-84.27272599999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 7	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-123	35.976106	-84.273314	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 93	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-122	35.976124000000006	-84.27327799999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 78	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-507	35.978858	-84.27251699999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 49	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-246	35.977143999999996	-84.27293499999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 1	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-127	35.976405	-84.273424	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 16	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-537	35.973362	-84.28022900000002	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 24	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-115	35.980506999999996	-84.27333299999997	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 2	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-510	35.978585	-84.27208199999997	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 26	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-345	35.975080000000005	-84.276925	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 51	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
DP16D	35.975500000000004	-84.27467799999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 67	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-215	35.97571500000001	-84.27472199999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 84	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-233-17	35.975743	-84.27472299999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 99	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-602-26	35.974045999999994	-84.27893099999999	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 26	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-531	35.973943999999996	-84.281558	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 83	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-533	35.974108	-84.28139299999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 48	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-084	35.973088	-84.28314	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 56	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-085	35.972500000000004	-84.281474	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 58	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
FW-603	35.973802	-84.27879099999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 55	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-086	35.972458	-84.281497	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 25	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-694	35.963466999999994	-84.29095400000001	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area NT3-NT8, Cluster 33	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-736	35.970895999999996	-84.280642	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 14	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-190	35.980705	-84.27117699999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 22	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-631	35.97923	-84.27039999999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 98	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-107	35.979043999999995	-84.269997	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 91	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-105	35.979239	-84.271679	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 82	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
PTMW02	35.97557300000001	-84.27633199999997	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 4	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-151	35.99341300000001	-84.236973	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 19	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-220	35.99338100000001	-84.236976	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 50	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-750	35.994376	-84.23531199999998	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 East, Cluster 28	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
GW-800	35.968949	-84.28178	North America <CONTINENT:0000007>	USA <COUNTRY:0000263>	Tennessee (TN), Oak Ridge Reservation (ORR), Area Y-12 West, Cluster 70	temperate woodland biome <ENVO:01000221>	water well <ENVO:01000002>
